Character_A,Character_B,Weight,Pages
"جسفر لومکس","چارلی سکیٹ",42,"1 3 4 5 6 7 8 9 10 19 33 34 62 64 65 66 67 68 69 106 107 108 110 112 121 133 136 139 228 230 231 240 241 251 253 254 257 258 259 263 267 295"
"دینی فرڈ","راڈرک پاسٹ",22,"36 37 38 43 44 59 75 83 99 121 129 135 137 138 139 152 167 174 229 240 253 285"
"دینی فرڈ","سر جارج ٹریسنگھم",1,"21"
"دینی فرڈ","سپاہی لارنس",1,"44"
"دینی فرڈ","قلعہ کلور کا پہرہ دار",1,"179"
"دینی فرڈ","مسٹر پاسٹ",11,"22 36 44 75 80 172 174 194 240 259 282"
"دینی فرڈ","نرس ریڈ فرن",19,"123 127 129 138 148 150 152 160 162 163 165 166 169 170 171 174 194 282 289"
"دینی فرڈ","نواب ڈی۔ گورن",37,"21 22 23 24 28 36 38 43 53 54 59 82 83 121 123 127 135 141 157 158 159 162 166 167 168 169 172 173 179 216 224 229 254 258 278 289 299"
"دینی فرڈ","نواب کے خفیہ چوکیدار (جوڑا)",1,"179"
"دینی فرڈ","ٹونگس",2,"24 141"
"دینی فرڈ","پادری جوزف مینڈیبل",6,"39 40 54 81 99 282"
"دینی فرڈ","پادری لانگڈن ٹریسنگھم",37,"21 22 23 24 26 27 28 29 30 37 40 43 44 51 53 54 60 73 75 80 81 93 94 97 98 99 115 123 127 132 148 150 157 166 168 282 285"
"دینی فرڈ","چارلی سکیٹ",17,"109 121 135 138 139 228 232 240 242 243 253 254 258 259 282 289 299"
"دینی فرڈ","گاسٹن",1,"299"
"دینی فرڈ","گلنسر",1,"157"
"راڈرک پاسٹ","سپاہی لارنس",1,"44"
"راڈرک پاسٹ","مسٹر پاسٹ",8,"33 36 44 49 75 174 240 287"
"راڈرک پاسٹ","نرس ریڈ فرن",6,"129 138 143 152 174 287"
"راڈرک پاسٹ","نواب ڈی۔ گورن",18,"33 35 36 38 43 59 61 63 77 79 83 121 133 135 136 167 229 287"
"راڈرک پاسٹ","پادری جوزف مینڈیبل",2,"32 99"
"راڈرک پاسٹ","پادری لانگڈن ٹریسنگھم",13,"32 37 43 44 47 63 75 76 79 99 285 286 287"
"راڈرک پاسٹ","چارلی سکیٹ",17,"33 34 67 110 120 121 130 131 133 134 135 136 138 139 240 253 286"
"سر جارج ٹریسنگھم","مسٹر پاسٹ",1,"25"
"سر جارج ٹریسنگھم","نواب ڈی۔ گورن",3,"12 21 25"
"سر جارج ٹریسنگھم","پادری لانگڈن ٹریسنگھم",2,"21 70"
"سپاہی لارنس","مسٹر پاسٹ",1,"44"
"سپاہی لارنس","پادری لانگڈن ٹریسنگھم",1,"44"
"قلعہ کلور کا پہرہ دار","نواب ڈی۔ گورن",3,"153 179 244"
"قلعہ کلور کا پہرہ دار","نواب کے خفیہ چوکیدار (جوڑا)",1,"179"
"مسز ہیکسٹ","چارلی سکیٹ",3,"13 15 65"
