Character_A,Character_B,Weight,Pages
"ملک آصف","پارو بہو",2,"242 243"
"ملک آصف","گل رخ",5,"224 225 234 237 243"
"ملکانی","منی",2,"239 242"
"ملکانی","نور افشاں",4,"232 239 242 243"
"ملکانی","پارو بہو",3,"241 242 243"
"ملکانی","گل رخ",7,"224 234 236 237 239 241 243"
"ملکانی","گیتو",2,"239 241"
"منی","نعیم",2,"189 217"
"منی","نور افشاں",2,"239 242"
"منی","نیاز",2,"214 215"
"منی","پارو بہو",1,"242"
"منی","پروفیسر فخر",1,"166"
"منی","پیا",2,"208 210"
"منی","گل رخ",1,"239"
"منی","گیتو",1,"239"
"منی","یاسمین",3,"214 215 218"
"نائیجل","پیا",1,"176"
"نائیجل","گلاب دین",1,"171"
"نعیم","نیاز",1,"200"
"نعیم","یاسمین",2,"200 216"
"نواب صاحب","نیاز",1,"117"
"نور افشاں","پارو بہو",2,"242 243"
"نور افشاں","گل رخ",2,"239 243"
"نور افشاں","گیتو",1,"239"
"نیاز","پروفیسر فخر",1,"181"
"نیاز","یاسمین",3,"200 214 215"
"پارو بہو","گل رخ",3,"226 241 243"
"پارو بہو","گیتو",1,"241"
"پولی","پیا",2,"212 219"
"گل رخ","گیتو",2,"239 241"
