Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"امام بخش","امیر بخش",7,"23 25 26 27 48 50","24:23 24:26 25:26 26:26 28:26 51:46 51:50"
"امام بخش","اچو شیخ",1,"22","24:21"
"امام بخش","بخت جہان",22,"21 22 24 25 26 27 28 29 30 31 33 48 49 50 51 52 53","24:19 24:20 24:24 25:24 25:25 26:25 26:27 28:27 28:28 29:28 29:29 32:29 32:31 32:35 51:46 51:47 51:48 51:49 51:50 51:52 53:52 53:53"
"امام بخش","بہشت بی بی",8,"23 24 25 26 27 51 52","24:23 24:25 25:25 26:25 26:27 28:27 51:51 53:51"
"امام بخش","حافظ جی",8,"27 28 29 31 32 52 53","25:30 26:30 28:30 29:30 32:30 32:32 51:54 53:54"
"امام بخش","حیات بی بی",10,"24 25 27 28 29 30 51 52 53","24:25 25:25 26:25 26:29 28:29 29:29 32:29 51:51 53:51 53:53"
"امام بخش","روشن بخش",9,"24 25 27 28 29 30 31 32","24:25 25:25 26:25 26:29 28:29 29:29 32:29 32:31 32:32"
"امام بخش","شیداں پاؤنڈوں والی",5,"24 51 52 53","24:24 25:24 51:51 53:51 53:53"
"امام بخش","صاحباں",8,"21 22 28 29 30 31 32","24:19 24:20 24:21 26:31 28:31 29:31 32:31 32:33"
"امام بخش","صغرا بی بی",18,"23 24 25 26 27 28 29 30 31 32 51 52 53","24:22 24:23 24:24 25:24 25:25 26:25 26:26 28:26 28:27 28:28 29:28 29:29 32:29 32:30 32:32 51:51 53:51 53:53"
"امام بخش","عزیز جہان",6,"25 26 27 53 54","24:27 25:27 26:27 28:27 51:56 53:56"
"امام بخش","لبناں سنگھ",3,"48 49","51:46 51:47 51:48"
"امام بخش","محمد جہان نمبردار",16,"21 22 24 25 26 27 29 31 33 48 49 53 54","24:19 24:20 24:25 25:25 26:25 26:26 28:26 28:27 28:30 29:30 32:30 32:35 51:46 51:48 51:56 53:56"
"امام بخش","نور بیگم",10,"21 25 26 27 28 29 30 31 50","24:19 24:27 25:27 26:27 28:27 28:29 29:29 32:29 32:30 51:49"
"امام بخش","چھیمو",3,"50 51 52","51:50 51:52 53:52"
"امام بخش","کنیز فاطمہ",9,"21 22 30 31 32 49 50","24:19 24:20 24:21 28:33 29:33 32:33 51:47 51:48 51:49"
"امیر بخش","اچو شیخ",5,"6 8 18 22 94","4:9 8:9 16:21 23:21 95:93"
"امیر بخش","بخت جہان",48,"2 3 4 6 7 8 12 13 14 15 16 20 21 23 25 26 44 45 46 48 49 50 67 68 69 78 79 80 87 88 92 93 94","4:1 4:2 4:3 4:4 8:4 8:5 8:6 8:7 8:9 15:10 15:11 15:13 15:14 15:15 16:15 16:16 23:18 23:19 23:20 23:24 26:24 26:25 26:27 46:42 46:44 46:45 46:46 50:46 50:47 50:48 50:49 50:50 69:66 69:68 69:69 81:76 81:77 81:78 81:79 81:80 85:90 86:90 87:90 95:90 95:91 95:92 95:93 95:94"
"امیر بخش","بھاگ بھری",5,"3 4 6 71 79","4:3 4:4 8:4 69:74 81:78"
"امیر بخش","بہشت بی بی",14,"2 23 24 25 26 48 50 66 67 88 89 93 94","4:1 23:23 26:23 26:25 26:27 46:51 50:51 69:64 69:66 86:91 87:91 95:91 95:92 95:93"
"امیر بخش","جسونت سنگھ",2,"2 3","4:1 4:3"
"امیر بخش","حافظ جی",10,"5 7 10 13 28 52 66 67 69 78","4:7 8:7 8:12 15:12 26:30 50:54 69:64 69:65 69:70 81:76"
"امیر بخش","حیات بی بی",5,"24 25 27 48 50","23:25 26:25 26:29 46:51 50:51"
"امیر بخش","رابعہ بی بی",10,"81 83 84 85 86 95","81:81 82:81 82:84 83:84 84:84 85:84 85:86 86:86 87:86 95:96"
"امیر بخش","روشن بخش",18,"9 13 14 15 16 24 25 27 79 83 84 85 86 95","8:11 15:11 15:13 15:16 16:16 23:25 26:25 26:29 81:77 81:85 82:85 83:85 84:85 85:85 86:85 86:86 87:86 95:96"
"امیر بخش","زہراں بی بی",4,"86 87 88","84:89 85:89 86:89 87:89"
"امیر بخش","زینب بیگم",7,"3 5 7 8 15 16","4:2 4:7 8:7 8:8 15:15 16:15 16:16"
"امیر بخش","سکھ دیپ سنگھ",1,"2","4:1"
"امیر بخش","شیداں پاؤنڈوں والی",6,"6 8 23 25 48 50","4:8 8:8 23:24 26:24 46:51 50:51"
"امیر بخش","صاحباں",11,"5 7 9 12 13 17 21 22 28","4:6 8:6 8:10 15:10 15:12 15:19 16:19 23:19 23:20 23:21 26:31"
"امیر بخش","صغرا بی بی",14,"9 12 22 23 24 25 26 48 50 68 88 89 93","8:10 15:10 23:22 23:23 26:23 26:24 26:25 26:26 46:51 50:51 69:67 86:91 87:91 95:91"
"امیر بخش","عزیز جہان",2,"25 26","23:27 26:27"
"امیر بخش","غلام محمد",3,"4 6 79","4:5 8:5 81:78"
"امیر بخش","لبناں سنگھ",7,"45 46 48 49 79 80","46:45 46:46 50:46 50:47 50:48 81:77 81:79"
"امیر بخش","محمد جہان نمبردار",30,"5 7 8 13 15 16 21 24 25 26 45 46 48 49 66 67 68 69 80 86 87 88 92 93","4:7 8:7 8:9 15:11 15:15 16:15 16:17 23:19 23:20 23:25 26:25 26:26 46:45 46:46 50:46 50:48 69:64 69:65 69:66 69:67 69:68 69:70 81:80 84:89 85:89 86:89 87:89 95:90 95:91 95:92"
"امیر بخش","محکم دین",10,"81 83 84 85 86 95","81:81 82:81 82:84 83:84 84:84 85:84 85:86 86:86 87:86 95:96"
"امیر بخش","نور بیگم",15,"3 4 6 8 14 15 16 20 21 25 26 47 49","4:2 4:5 8:5 8:8 15:13 15:14 15:15 16:15 16:16 23:18 23:19 23:27 26:27 46:49 50:49"
"امیر بخش","پیر بخش",2,"10 13","8:12 15:12"
"امیر بخش","چھیمو",2,"48 50","46:50 50:50"
"امیر بخش","کنیز فاطمہ",24,"3 4 6 7 8 12 13 17 21 22 46 48 49 66 69 78 79 80","4:2 4:3 4:5 8:5 8:7 8:9 15:10 15:11 15:12 15:19 16:19 23:19 23:20 23:21 46:47 50:47 50:48 50:49 69:64 69:69 81:76 81:77 81:78 81:79"
"امیر بخش","گوبند سنگھ",4,"3 4 6 79","4:2 4:5 8:5 81:78"
"اچو شیخ","بخت جہان",19,"6 7 8 9 18 19 20 22 36 37 38 39 91 92 93","9:4 9:5 9:6 9:7 9:9 21:16 21:17 21:18 21:19 21:20 21:24 38:35 38:37 38:39 39:39 93:90 93:91 93:92 93:93"
"اچو شیخ","بھاگ بھری",1,"6","9:4"
"اچو شیخ","بہشت بی بی",6,"22 39 92 93","21:23 38:40 39:40 93:91 93:92 93:93"
"اچو شیخ","حافظ جی",4,"8 10 35 36","9:7 9:12 38:33 38:34"
"اچو شیخ","حیات بی بی",1,"23","21:25"
"اچو شیخ","رابعہ بی بی",1,"94","93:96"
"اچو شیخ","روشن بخش",5,"10 18 23 36 94","9:11 21:16 21:25 38:34 93:96"
"اچو شیخ","زہراں بی بی",1,"91","93:89"
"اچو شیخ","زینب بیگم",4,"8 9 18","9:7 9:8 9:9 21:16"
"اچو شیخ","شیداں پاؤنڈوں والی",2,"8 22","9:8 21:24"
"اچو شیخ","صاحباں",13,"7 9 20 21 35 36 37 38 39","9:6 9:10 21:19 21:20 21:21 38:33 38:34 38:35 38:36 38:37 38:38 39:38 39:39"
"اچو شیخ","صغرا بی بی",5,"9 21 39 92","9:10 21:22 38:40 39:40 93:91"
"اچو شیخ","غلام محمد",1,"7","9:5"
"اچو شیخ","محمد جہان نمبردار",13,"8 9 19 20 23 36 39 91 92","9:7 9:9 21:17 21:19 21:20 21:25 38:35 38:40 39:40 93:89 93:90 93:91 93:92"
"اچو شیخ","محکم دین",1,"94","93:96"
"اچو شیخ","نور بیگم",9,"7 8 9 18 19 20 39","9:5 9:8 9:9 21:16 21:17 21:18 21:19 38:40 39:40"
"اچو شیخ","پیر بخش",1,"10","9:12"
