Character_A,Character_B,Weight,Pages
"لال صاحب","کنور سجن سنگھ",2,"123 124"
"لال صاحب","گوداوری",3,"29 30 40"
"لال صاحب","گومتی",2,"29 30"
"لالہ سائیں داس","کنور جگدیش سنگھ",3,"118 119 122"
"لالہ سائیں داس","کنور سجن سنگھ",1,"122"
"لالہ صاحب","منشی جی",1,"130"
"لالہ صاحب","منشی چھکن لال",1,"130"
"لالہ صاحب","پنڈت دیودت",2,"54 55"
"لالہ صاحب","گوداوری",2,"54 55"
"لالہ صاحب","گومتی",2,"54 55"
"ماتا جی","کنور جگدیش سنگھ",2,"134 138"
"ماتا جی","کنور سجن سنگھ",2,"134 138"
"ماتا جی","گومتی",1,"138"
"ماں منشی ست نرائن لال","منشی جی",2,"140 146"
"ماں منشی ست نرائن لال","منشی ست نرائن لال",2,"140 146"
"مسٹر جیکب","کنور جگدیش سنگھ",2,"106 139"
"مسٹر جیکب","کنور سجن سنگھ",2,"106 139"
"مسٹر نسیم","پنڈت دیودت",1,"103"
"مسٹر نسیم","کنور جگدیش سنگھ",1,"102"
"مسٹر نسیم","کنور سجن سنگھ",1,"102"
"مسٹر واگلے","کنور سجن سنگھ",2,"43 73"
"منشی جی","منشی ست نرائن لال",10,"16 129 140 144 145 146 148 152 156 160"
"منشی جی","منشی چھکن لال",1,"130"
"منشی جی","پنڈت بھرو گودت مصر",1,"127"
"منشی جی","پنڈت دیودت",4,"125 127 128 144"
"منشی ست نرائن لال","منشی چھکن لال",1,"141"
"منشی ست نرائن لال","مولوی صاحب",1,"141"
"منشی ست نرائن لال","پنڈت دیودت",1,"144"
"منشی ست نرائن لال","کنجرین سبزی والی",1,"147"
"منشی چھکن لال","مولوی صاحب",1,"141"
"مہا راجہ شبلو رام پور","کنور جگدیش سنگھ",1,"48"
"مہا راجہ شبلو رام پور","کنور سجن سنگھ",1,"48"
"مہادیو سنا","پروہت جی",1,"84"
"مہادیو سنا","پنڈت دیودت",1,"82"
"مہری","پنڈت دیودت",2,"41 58"
"مہری","کنور جگدیش سنگھ",1,"108"
"مہری","کنور سجن سنگھ",1,"108"
"مہری","گوداوری",2,"41 58"
"مہری","گومتی",2,"41 58"
"پریم شنکر","ڈاکٹر عرفان علی",5,"62 63 64 69 70"
