Character_A,Character_B,Weight,Pages
"اماں","منے",1,"164"
"اماں","مولوی صاحب",2,"51 97"
"اماں","مہری",3,"53 54 170"
"اماں","میاں امیر",6,"27 53 54 77 78 164"
"اماں","میاں حسنو",2,"67 68"
"اماں","میاں سعادت",5,"46 47 48 49 164"
"اماں","میاں محمد بخش",1,"164"
"اماں","میر صاحب",2,"97 156"
"اماں","نواب راشد علی",4,"46 47 48 49"
"اماں","نواب سلطان صاحب",1,"71"
"اماں","نواب صاحب (مشاعرہ)",14,"46 47 48 49 51 65 71 78 96 156 157 164 170 172"
"اماں","نواب عمدة النساء بیگم",1,"172"
"اماں","نواب فخر النساء کی ماما",6,"71 141 152 159 170 171"
"اماں","نواب چھین صاحب",1,"96"
"اماں","نواب چھین صاحب کی والدہ",25,"27 33 34 35 37 38 39 46 47 48 49 65 67 68 77 78 80 87 93 96 111 141 158 162 171"
"اماں","پنامل جوہری",1,"111"
"اماں","پھوپھا",1,"34"
"اماں","پھوپھی",1,"34"
"اماں","پیارے صاحب",1,"85"
"اماں","پیر بخش",4,"25 37 38 39"
"اماں","چھوٹا بھائی",4,"26 33 35 37"
"اماں","کریم",2,"22 170"
"اماں","کریم کی ساس",1,"22"
"اماں","کریمین",3,"34 35 170"
"اماں","گوہر مرزا",5,"51 53 54 71 111"
"امراؤ جان","امراؤ کا منگیتر",1,"59"
"امراؤ جان","امیر جان",2,"53 54"
"امراؤ جان","اکبر علی خاں",2,"146 149"
"امراؤ جان","اکبر علی خاں کی بیوی",6,"11 26 63 84 154 169"
"امراؤ جان","بسم اللہ جان",12,"41 56 57 58 68 81 83 91 93 96 97 99"
"امراؤ جان","بنو",2,"53 54"
"امراؤ جان","بوا امیرن",1,"176"
"امراؤ جان","بوا حسینی",6,"26 59 111 114 117 161"
"امراؤ جان","بڑے خان صاحب",1,"176"
"امراؤ جان","بیبا جان",1,"118"
"امراؤ جان","بیگم محمد تقی خاں (کانپور والی)",1,"165"
"امراؤ جان","حسنا",5,"46 47 48 49 163"
"امراؤ جان","حسین باندھی",1,"118"
"امراؤ جان","حسین علی صاحب",1,"118"
"امراؤ جان","حکیم صاحب (نخاس)",2,"53 54"
"امراؤ جان","خان صاحب",8,"8 9 10 14 15 16 63 176"
"امراؤ جان","خانم جان",18,"26 41 46 47 48 49 56 57 58 59 84 91 93 97 111 114 118 169"
"امراؤ جان","خلیفہ جی",2,"81 83"
"امراؤ جان","خورشید جان",2,"84 111"
"امراؤ جان","سید قطب الدین",1,"151"
"امراؤ جان","شاہ صاحب",2,"53 54"
"امراؤ جان","شمشیر خان",1,"187"
"امراؤ جان","شیخ صاحب",1,"8"
"امراؤ جان","فیض علی",4,"111 114 117 118"
"امراؤ جان","مدن کی ماں",1,"176"
"امراؤ جان","مرزا اسکندر حشمت",1,"151"
"امراؤ جان","مرزا برجیس قدر",1,"151"
"امراؤ جان","مرزا رسوا",55,"7 8 9 10 11 12 13 14 15 16 20 26 41 46 47 48 49 53 54 55 56 57 58 59 62 63 68 81 83 84 91 93 96 97 99 111 114 117 118 146 147 149 151 154 158 161 162 163 165 169 176 177 178 179 187"
"امراؤ جان","منشی احمد حسن",7,"7 12 13 14 15 16 20"
"امراؤ جان","منے",1,"13"
"امراؤ جان","مولوی صاحب",5,"81 83 84 97 99"
"امراؤ جان","مکا پاسی",1,"118"
"امراؤ جان","مہری",6,"11 53 54 165 169 187"
"امراؤ جان","میاں امیر",4,"12 53 54 63"
"امراؤ جان","میاں حسنو",1,"68"
"امراؤ جان","میاں سعادت",4,"46 47 48 49"
"امراؤ جان","میر صاحب",1,"97"
"امراؤ جان","نواب جعفر علی خان",1,"63"
"امراؤ جان","نواب راشد علی",4,"46 47 48 49"
"امراؤ جان","نواب سلطان صاحب",3,"59 62 169"
"امراؤ جان","نواب صاحب (مشاعرہ)",12,"7 8 9 10 46 47 48 49 59 63 91 96"
"امراؤ جان","نواب عمدة الخاقان بیگم",4,"41 56 57 58"
"امراؤ جان","نواب فخر النساء کی ماما",1,"91"
"امراؤ جان","نواب ملکہ کشور",2,"151 165"
"امراؤ جان","نواب چھین صاحب",5,"41 56 57 58 96"
"امراؤ جان","نواب چھین صاحب کی والدہ",10,"46 47 48 49 68 93 96 111 158 162"
"امراؤ جان","واجد علی",1,"149"
"امراؤ جان","پنامل جوہری",1,"111"
"امراؤ جان","پنڈت جی",3,"7 15 16"
"امراؤ جان","پیارے صاحب",1,"84"
"امراؤ جان","چھوٹا بھائی",1,"26"
"امراؤ جان","گوہر مرزا",6,"53 54 83 111 117 154"
"امراؤ کا منگیتر","اکبر علی خاں کی بیوی",1,"35"
"امراؤ کا منگیتر","بوا امیرن",1,"159"
"امراؤ کا منگیتر","بوا حسینی",1,"59"
"امراؤ کا منگیتر","خانم جان",1,"59"
"امراؤ کا منگیتر","مرزا رسوا",4,"34 35 59 159"
"امراؤ کا منگیتر","نواب سلطان صاحب",1,"59"
"امراؤ کا منگیتر","نواب صاحب (مشاعرہ)",1,"59"
"امراؤ کا منگیتر","نواب فخر النساء کی ماما",1,"159"
"امراؤ کا منگیتر","نواب چھین صاحب کی والدہ",2,"34 35"
"امراؤ کا منگیتر","پھوپھا",1,"34"
"امراؤ کا منگیتر","پھوپھی",1,"34"
"امراؤ کا منگیتر","چھوٹا بھائی",1,"35"
"امراؤ کا منگیتر","کریمین",2,"34 35"
"امیر بان","بسم اللہ جان",1,"27"
"امیر بان","بوا حسینی",1,"27"
"امیر بان","خانم جان",1,"27"
"امیر بان","خورشید جان",1,"27"
"امیر بان","مرزا رسوا",1,"27"
"امیر بان","میاں امیر",1,"27"
"امیر بان","نواب چھین صاحب کی والدہ",1,"27"
"امیر جان","بسم اللہ جان",1,"167"
"امیر جان","بنو",2,"53 54"
"امیر جان","بوا حسینی",1,"52"
"امیر جان","حکیم صاحب (نخاس)",2,"53 54"
"امیر جان","خانم جان",1,"167"
"امیر جان","خورشید جان",1,"167"
"امیر جان","شاہ صاحب",2,"53 54"
"امیر جان","علی بخش",1,"52"
"امیر جان","مرزا رسوا",4,"52 53 54 167"
"امیر جان","مولوی صاحب",1,"52"
"امیر جان","مہری",3,"53 54 167"
"امیر جان","میاں امیر",4,"52 53 54 167"
"امیر جان","گوہر مرزا",3,"52 53 54"
"اکبر علی خاں","اکبر علی خاں کی بیوی",4,"150 152 173 175"
"اکبر علی خاں","بسم اللہ جان",1,"192"
"اکبر علی خاں","بوا امیرن",3,"150 173 175"
"اکبر علی خاں","بڑے خان صاحب",1,"175"
"اکبر علی خاں","تھانے دار صاحب",1,"192"
"اکبر علی خاں","حسین خاں",1,"173"
"اکبر علی خاں","خان صاحب",2,"175 192"
"اکبر علی خاں","دلاور خان",1,"191"
"اکبر علی خاں","سلار بخش",2,"191 192"
"اکبر علی خاں","مدن کی ماں",2,"152 175"
"اکبر علی خاں","مرزا رسوا",10,"145 146 148 149 150 152 173 175 191 192"
"اکبر علی خاں","نواب صاحب (مشاعرہ)",2,"145 192"
"اکبر علی خاں","نواب فخر النساء کی ماما",3,"150 152 173"
"اکبر علی خاں","نواب چھین صاحب",2,"191 192"
"اکبر علی خاں","واجد علی",1,"149"
"اکبر علی خاں کی بیوی","بوا امیرن",4,"150 160 173 175"
"اکبر علی خاں کی بیوی","بوا حسینی",1,"26"
"اکبر علی خاں کی بیوی","بڑے خان صاحب",1,"175"
"اکبر علی خاں کی بیوی","حسین خاں",1,"173"
"اکبر علی خاں کی بیوی","حسین علی صاحب",1,"164"
"اکبر علی خاں کی بیوی","خان صاحب",2,"63 175"
"اکبر علی خاں کی بیوی","خانم جان",4,"26 84 88 169"
"اکبر علی خاں کی بیوی","خورشید جان",3,"84 88 172"
"اکبر علی خاں کی بیوی","سید قطب الدین",1,"155"
"اکبر علی خاں کی بیوی","مدن کی ماں",2,"152 175"
"اکبر علی خاں کی بیوی","مرزا برجیس قدر",1,"155"
"اکبر علی خاں کی بیوی","مرزا رسوا",20,"11 26 35 63 84 87 88 141 150 152 154 155 160 164 169 171 172 173 175 184"
"اکبر علی خاں کی بیوی","منے",1,"164"
"اکبر علی خاں کی بیوی","مولوی صاحب",1,"84"
"اکبر علی خاں کی بیوی","مہری",2,"11 169"
"اکبر علی خاں کی بیوی","میاں امیر",2,"63 164"
"اکبر علی خاں کی بیوی","میاں سعادت",1,"164"
"اکبر علی خاں کی بیوی","میاں محمد بخش",1,"164"
"اکبر علی خاں کی بیوی","نواب جعفر علی خان",1,"63"
"اکبر علی خاں کی بیوی","نواب سلطان صاحب",1,"169"
"اکبر علی خاں کی بیوی","نواب صاحب (مشاعرہ)",3,"63 164 172"
"اکبر علی خاں کی بیوی","نواب عمدة النساء بیگم",1,"172"
"اکبر علی خاں کی بیوی","نواب فخر النساء کی ماما",7,"141 150 152 160 171 173 184"
"اکبر علی خاں کی بیوی","نواب چھین صاحب کی والدہ",5,"35 87 141 171 184"
"اکبر علی خاں کی بیوی","پیارے صاحب",2,"84 88"
"اکبر علی خاں کی بیوی","چھوٹا بھائی",2,"26 35"
"اکبر علی خاں کی بیوی","کریمین",1,"35"
"اکبر علی خاں کی بیوی","گوہر مرزا",3,"88 154 155"
"بسم اللہ جان","بوا حسینی",5,"27 71 78 80 86"
"بسم اللہ جان","بڑے نواب صاحب",1,"64"
"بسم اللہ جان","بیگا جان",3,"30 189 190"
"بسم اللہ جان","تھانے دار صاحب",1,"192"
"بسم اللہ جان","جہاں پناہ",1,"64"
"بسم اللہ جان","خان صاحب",3,"29 78 192"
"بسم اللہ جان","خانم جان",20,"24 27 28 29 30 41 56 57 58 64 70 72 78 80 86 91 93 94 97 167"
"بسم اللہ جان","خلیفہ جی",3,"29 81 83"
"بسم اللہ جان","خورشید جان",8,"27 28 30 78 86 167 188 189"
"بسم اللہ جان","دلاور خان",1,"24"
"بسم اللہ جان","دلبر حسین",1,"64"
"بسم اللہ جان","سلار بخش",1,"192"
"بسم اللہ جان","محدوم بخش",2,"66 94"
"بسم اللہ جان","مرزا رسوا",39,"24 27 28 29 30 41 42 43 44 45 56 57 58 64 66 67 68 69 70 71 72 78 80 81 82 83 86 91 93 94 96 97 98 99 167 188 189 190 192"
"بسم اللہ جان","منصف الدولہ",1,"66"
"بسم اللہ جان","مولوی صاحب",6,"81 82 83 97 98 99"
"بسم اللہ جان","مہری",1,"167"
"بسم اللہ جان","میاں امیر",5,"27 78 86 167 188"
"بسم اللہ جان","میاں حسنو",4,"67 68 69 70"
"بسم اللہ جان","میاں سعادت",1,"82"
"بسم اللہ جان","میر صاحب",3,"86 97 98"
"بسم اللہ جان","نواب بنّے خان",1,"189"
"بسم اللہ جان","نواب سلطان صاحب",1,"71"
"بسم اللہ جان","نواب صاحب (مشاعرہ)",10,"64 66 69 71 72 78 91 94 96 192"
"بسم اللہ جان","نواب عمدة الخاقان بیگم",4,"41 56 57 58"
"بسم اللہ جان","نواب فخر النساء بیگم",1,"70"
"بسم اللہ جان","نواب فخر النساء کی ماما",5,"24 70 71 72 91"
"بسم اللہ جان","نواب ملکہ کشور",1,"64"
"بسم اللہ جان","نواب چھین صاحب",10,"41 56 57 58 64 69 70 96 189 192"
"بسم اللہ جان","نواب چھین صاحب کی والدہ",7,"27 67 68 78 80 93 96"
"بسم اللہ جان","پیارے صاحب",1,"86"
"بسم اللہ جان","پیر بخش",1,"24"
"بسم اللہ جان","گوہر مرزا",2,"71 83"
"بند ڈومنی","بوا حسینی",1,"40"
"بند ڈومنی","مرزا رسوا",1,"40"
"بند ڈومنی","مولوی صاحب",1,"40"
"بند ڈومنی","میاں امیر",1,"40"
"بند ڈومنی","گوہر مرزا",1,"40"
"بنو","بوا حسینی",1,"51"
"بنو","بیگم جعفر علی خان",1,"51"
"بنو","حکیم صاحب (نخاس)",2,"53 54"
"بنو","شاہ صاحب",2,"53 54"
"بنو","مرزا رسوا",3,"51 53 54"
"بنو","مولوی صاحب",1,"51"
"بنو","مہری",2,"53 54"
"بنو","میاں امیر",2,"53 54"
"بنو","نواب صاحب (مشاعرہ)",1,"51"
