book_id,author,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
10,AshfaqAhmed,2.1105618,2.0822577,0.35198224,3.4759476,0.049770266,-0.6980417,0.3636121,0.1491151,1.1096975,3.2478158,-0.42698562,2.0456076,-0.067572504,0.5146431,0.6989742,0.82836676,0.44386348,-0.23817934,-0.34981245,-0.84325755,-0.9468468,-0.9019612,2.6520917,-0.41935244,2.4392996,1.550193,2.1526833,1.1186564,0.758946,3.0291352,-0.1346133,0.9861548,1.2794993,0.46770513,0.3336644,2.755322,-0.4522066,0.5868346,1.5201808,1.5309536,-0.7745746,1.2441019,-0.8424649,-0.40202233,-0.24569887,0.26836926,0.08956217,0.33649793,1.9218826,-0.07984185,-0.9520118,1.2137977,3.6626015,1.684075,0.46202922,0.44836769,-0.23445718,0.55615205,0.29893738,1.1686661,1.9501873,0.9642498,1.9802022,-0.23098876
11,AshfaqAhmed,1.257031,1.2113193,0.6071422,2.0420618,0.54704404,0.4503212,0.6059015,0.44673285,0.87244284,2.089038,0.15335721,1.2967348,0.9130847,0.70539534,0.24735695,0.7691487,0.6250999,-0.0053173862,0.29664338,0.79092133,0.67027193,0.4376746,1.4144208,0.38602248,1.435485,1.0503428,1.1868806,0.7020802,0.39783236,1.8590741,0.10765995,0.97027004,0.85498524,0.69414115,0.49156666,1.4695997,0.17175995,0.47387993,0.9515896,0.75561106,0.52559227,0.6306373,0.676092,-0.12188045,1.141055,0.7977673,0.9064118,0.82802093,1.0004842,0.99101025,0.8005407,1.0355004,2.4294589,0.9136968,0.692959,0.575979,0.18890709,0.8287653,0.5961762,0.63520485,1.1974058,0.44796425,1.1505641,0.04794095
12,AshfaqAhmed,1.6324828,1.5412681,0.6993331,2.6276329,0.6914449,-0.36597577,0.8102467,0.5020966,0.73570824,2.4250078,-0.24768414,1.4720443,0.6373726,0.395216,0.51269203,0.59001476,0.6102447,-0.250587,-0.14571652,-0.78022295,-0.53354096,-0.7747155,1.9472111,-0.17502241,1.8342685,1.1269068,1.460779,0.71289504,0.39321807,2.196084,0.17842498,0.62244654,0.9815289,0.836426,0.7305832,1.8979131,-0.49187937,0.17233929,1.2036985,1.0313015,-0.71387076,0.7117924,-0.7179437,-0.5891424,0.5960963,0.08257489,0.8034713,1.0464948,1.5845649,0.58146554,-0.89372766,0.87955976,3.7968283,1.0969143,0.651714,0.38956642,-0.16654694,1.1106266,0.6174013,0.82697904,1.4438896,0.49222213,1.4483078,-0.4296913
13,BanoQudsia,0.17421906,0.061288163,1.4658084,0.5295408,2.1515858,-0.47288933,2.0895274,1.9146458,-0.3007125,0.32283303,0.47035295,0.8549732,2.629237,-0.41969773,0.91759956,-0.38582313,1.4227045,0.8376242,0.83309937,0.48021027,1.0336621,1.1224325,0.40458724,1.7080034,0.1682051,0.674846,0.03853185,-0.24314973,0.0974256,0.25783074,0.6909993,0.117810756,0.6987364,1.7179812,1.8834038,0.22784545,0.8461326,-0.44517103,-0.059781387,0.18109469,0.112598844,-0.32507005,0.4475275,-0.24624573,2.3474555,0.09117417,2.8153749,2.9459803,0.42422172,2.6973486,1.5647397,-0.27949673,3.0811844,-0.16393583,1.3407915,-0.33030263,1.276683,2.6745448,1.2857041,-0.106705144,0.89179415,-0.18228656,0.044632096,-0.5090404
14,BanoQudsia,0.1685031,0.20871477,1.4056791,0.65630984,1.8309549,-0.015189453,1.72153,1.3830926,-0.056861132,0.52738994,0.7901403,1.0407896,2.6198862,-0.18224353,0.35393488,-0.13373438,1.3639091,0.282924,0.62409157,1.2341338,1.5369842,1.1119733,0.4722321,1.3468876,0.2631768,0.7698706,0.25591424,-0.048277076,0.10060654,0.5001998,0.40407187,0.6761641,0.75681853,1.6176206,1.501223,0.5007431,0.71001863,-0.2053723,0.028970694,0.21806698,0.84264064,-0.01675336,1.1467289,-0.3097335,2.6652355,0.7862372,2.5672128,2.4504952,0.52000886,2.813318,1.5733374,-0.02205121,3.4012294,0.14239646,1.318812,0.17734326,0.61597824,2.216519,1.1949015,-0.021937747,1.0739266,-0.030457033,0.18375045,-0.43103248
15,BanoQudsia,-0.41046628,-0.44614792,2.813307,-0.14026245,3.5495744,-0.12607299,3.6730072,3.145352,-0.64817804,-0.36752734,-0.03502349,0.901914,3.702185,-0.6740755,0.64074135,-0.6965207,2.6768599,1.6483511,1.7911057,-0.22739436,0.6932518,0.70722747,-0.05972678,2.2183192,-0.40790203,0.8098248,-0.4250994,-0.5935434,0.16239747,-0.36766723,1.5134739,-0.4083944,0.93671876,3.1178417,3.2174816,-0.28042027,0.15571313,-0.66466814,-0.4941595,-0.05283601,-0.4456258,-0.5999375,-0.23073588,0.08502015,3.765536,-0.49002236,4.260744,4.629205,-0.030826312,3.2914422,0.8385554,-0.65642697,3.389343,-0.53178227,2.545939,-0.63934267,2.2439559,4.5182314,2.509413,-0.49431285,0.92147696,-0.41552058,-0.44796184,-0.51483893
16,BanoQudsia,0.16763201,0.043863934,3.7700267,0.927554,2.2478657,-0.15772797,2.4812982,0.3006764,-0.085710704,0.4147943,-0.2881344,3.802454,1.2993078,-0.20418791,0.7161801,-0.07046789,3.6010146,0.85497975,-0.5668651,-0.94634277,-0.4921068,-0.5672357,1.4432472,0.26749974,0.2142793,3.0698009,0.26704553,-0.20848157,1.6265326,0.39185196,1.7222668,-0.42458177,3.2060435,3.006684,0.35180268,0.7701834,-0.7273202,-0.3377286,-0.03394438,2.0862124,-0.9132451,0.037155528,-0.92034733,0.85811055,0.9689988,-0.62264484,1.9443921,2.48242,0.15811574,0.5658046,-0.8619622,-0.10962577,0.6701263,-0.11197754,3.3770697,-0.38677928,1.1315223,1.7114456,3.4952204,-0.118871234,3.4019344,1.0169032,0.009528796,0.17835729
17,BanoQudsia,0.17366667,0.13113016,2.3520048,0.81524473,1.4552549,1.4368981,2.0580633,1.3530326,0.7424072,0.52395165,-0.6821541,2.2560096,0.4624617,0.84735805,0.0072251162,0.9873426,2.3924775,1.3573245,0.7721692,-0.83550256,-0.6841639,-0.5239665,0.7583942,0.32289755,0.2507548,2.0923839,0.5478782,0.14078191,1.1763446,0.61773926,1.0092393,-0.23047222,1.8422313,2.1723413,1.3253511,0.9888413,-0.71153,0.7839129,0.1511899,0.9102399,-0.7936031,0.6161931,-0.79705215,1.3704481,0.86463046,-0.43690163,1.3158742,1.6655191,0.3140283,-0.008488814,-0.6167093,0.809856,1.8764036,0.29320866,2.414357,-0.19187097,1.7836134,2.0632472,2.2598913,-0.10517396,1.9472883,0.87558365,0.10347802,1.1272466
18,BanoQudsia,-0.925799,-0.9646864,2.5896008,-0.976001,4.2835016,4.1981626,3.1168098,2.561759,-0.56986487,-0.985728,-0.6540426,-0.8288199,4.1752605,0.7021978,-0.9427749,0.04771959,1.8069743,1.161076,2.5385218,-0.32633802,2.228672,1.2462748,-0.94825554,2.1040812,-0.97269154,-0.304766,-0.966095,-0.8216321,-0.64811283,-0.98198044,2.005474,-0.94509786,-0.28555182,2.453557,2.2035358,-0.977414,-0.91771656,-0.746456,-0.6493782,-0.8704488,-0.6000518,-0.90817904,0.037598185,1.0321845,6.4970913,-0.8305074,5.11413,4.5141554,-0.91380274,2.557311,1.2520802,-0.3657332,-0.74779564,-0.9624437,2.220905,-0.34047243,2.6376307,3.8290608,2.6341264,-0.9024982,-0.8842764,-0.81599265,-0.9681154,0.44692147
19,BanoQudsia,-0.35884133,-0.5379597,2.6127331,0.35446918,2.6295564,2.249967,2.2203753,1.2725767,0.20785734,-0.1591224,-0.63907385,1.2979152,2.184914,0.78926647,-0.09894291,0.69853884,2.3868253,1.2085674,0.9505116,-0.7764333,0.50518423,-0.10645598,0.11239641,0.8685213,-0.31105536,1.4352466,0.080920994,-0.26860672,0.92083,0.14945552,1.6918949,-0.62630624,1.2808545,2.2861857,1.2634331,0.28942817,-0.71962136,0.13832514,-0.25387305,0.41932398,-0.69625294,0.16156307,-0.6764918,1.4676365,3.268361,-0.62074697,2.9510703,2.7918317,-0.5040304,1.1026253,-0.41220573,0.2840762,-0.30249074,-0.13884877,2.5435703,-0.2930284,1.6892202,2.448418,2.696803,-0.4757362,1.0060974,0.26717997,-0.48184037,1.0368425
