book_id,author,gender_prop_Male,gender_prop_Female,gender_prop_Unknown,role_prop_Protagonist,role_prop_Antagonist,role_prop_Support,role_prop_Major_Support,role_prop_Narrator,role_prop_Minor,role_prop_Inactive,n_nodes,n_edges,density,deg_mean,deg_std,deg_max,clustering,transitivity,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
10,AshfaqAhmed,0.8150289,0.1849711,0.0,0.0,0.0,0.046242774,0.0,0.0057803467,0.9479769,0.0,173.0,35.0,0.0023524668,0.40462428,1.7298406,8.0,0.050578035,0.9705882,0.92898947,0.12244455,1.9872195,0.4386024,0.52767813,-0.6385543,-0.1214393,0.22944427,0.1110207,0.8418087,0.96778816,0.30356592,1.9418118,-0.5621984,0.9947463,0.6908582,1.5244756,0.8276165,-0.07779362,1.3491316,0.22830112,1.0241002,1.1830404,0.1766697,0.9803193,0.3803213,-0.62612027,2.2709572,1.2584844,1.0896392,-0.50996065,1.094411,0.15814261,0.9399067,-0.6749504,0.27106157,1.0001684,2.009797,-0.2723359,0.012929627,-0.29761228,1.9998165,1.5270205,0.1617987,0.5410075,-0.6020066,-0.56493837,-0.6415128,2.1798284,0.6986122,1.0765624,-0.46693262,0.6746203,0.9963804,-0.5590158,0.8650279,0.020067638,-0.465962,2.088593,1.0288056,-0.3994386,0.7019057,1.08533,0.77996886
11,AshfaqAhmed,0.6805556,0.25,0.06944445,0.11111111,0.020833334,0.2013889,0.0,0.0069444445,0.6597222,0.0,144.0,101.0,0.009809635,1.4027778,2.8947256,25.0,0.24272877,0.42391303,0.5240791,0.40413392,0.46956098,0.1946351,0.13850482,0.070628405,-0.00916764,-0.059851546,-0.00390818,0.38945273,0.60936874,0.061468747,1.3021361,0.20363985,1.0066154,0.22562408,0.804315,0.5374963,-0.2268206,0.54052365,-0.12014952,0.6254279,0.6768582,-0.3940969,-0.073404625,0.14492756,0.72631043,1.4628376,0.66948396,0.6926854,-0.53077614,0.7286085,-0.122469135,0.655687,0.26227057,0.18793035,0.4692953,1.166277,-0.29289043,0.22012216,-0.053720366,0.07041912,0.23419493,0.24905501,0.40270957,0.53196895,0.485546,-0.6127315,1.458862,0.17454194,0.49951446,-0.4684097,0.28494436,0.41390038,-0.28094032,0.37977,0.58300906,-0.113175035,1.2932446,0.48299536,0.041302018,0.224487,-0.05181422,0.39441267
12,AshfaqAhmed,0.71875,0.28125,0.0,0.03125,0.0,0.0625,0.0,0.03125,0.875,0.0,32.0,6.0,0.012096774,0.375,0.99215674,3.0,0.125,1.0,0.7346555,0.2919584,0.47441876,0.37148148,0.37390742,-0.39241374,-0.04614021,0.13511446,0.018172491,0.7421248,0.94804746,0.11874411,1.8078277,-0.34426254,1.0313159,0.30653524,1.1981827,0.4176404,-0.030098036,0.13357374,0.08923992,0.9164067,1.124647,-0.34677827,-0.08942415,0.20648046,-0.08006135,1.9797505,0.99509114,0.9520903,-0.48706916,1.1503623,0.035072036,0.79300183,-0.43681306,0.22703558,0.7558406,1.7341355,-0.24134602,-0.010482449,-0.13545866,0.17239587,-0.06640512,0.044123083,0.55730575,-0.14395863,-0.27269325,-0.62631685,1.9537817,0.24265005,0.8797396,-0.44773576,0.47339857,0.8667636,-0.47635597,0.7374555,0.3193181,-0.46771815,1.8857411,0.6866338,-0.18126048,0.16914433,-0.09206167,0.51220566
13,BanoQudsia,0.35443038,0.5822785,0.06329114,0.025316456,0.025316456,0.21518987,0.0,0.0,0.73417723,0.0,79.0,148.0,0.04803635,3.7468355,3.705857,19.0,0.45016444,0.56902003,-0.2601885,0.21676612,1.2356657,-0.56648076,-0.42224362,0.9598032,-0.5009455,-0.4959361,-0.16784167,-0.20991442,-0.060443915,-0.4735374,0.3212711,1.1361468,-0.20782167,0.5792381,-0.2165773,0.9200029,-0.52098453,2.5425107,-0.5707939,-0.10032808,-0.029863965,-0.09322029,0.7708533,-0.45141017,1.452015,0.2443637,-0.1925051,-0.30898875,-0.66734403,0.06862323,-0.58856034,-0.07688164,1.8001813,-0.30950198,-0.33882198,0.088439375,-0.54085964,0.4824705,-0.19673726,0.4440409,1.2958721,0.97595805,-0.46302345,2.0822465,1.8741103,-0.65912503,0.3015162,0.35513183,-0.27442527,-0.6571301,-0.37902212,-0.23304053,0.20824553,-0.27484077,0.5637137,0.7904802,0.22142628,-0.1751295,1.203247,0.6131656,0.81813014,-0.19956613
14,BanoQudsia,0.47368422,0.5263158,0.0,0.10526316,0.05263158,0.2631579,0.0,0.0,0.57894737,0.0,19.0,15.0,0.0877193,1.5789474,2.3241477,5.0,0.31578946,1.0,0.12676139,-0.45667082,2.778766,-0.33491793,-0.0809348,0.41668817,-0.5548971,-0.12271113,-0.5176715,0.38428366,0.87028813,-0.21283264,1.3681145,-0.5210013,-0.063027404,1.2362432,0.31794003,1.2204885,0.03051072,2.9216416,-0.29837695,0.64470327,0.83387613,0.15231039,1.4816529,-0.36829415,-0.5808168,1.3210406,0.42218202,-0.008137565,-0.54612523,1.1887592,-0.29690436,0.28126663,0.62753206,-0.344296,0.16233328,1.0246311,-0.54630476,0.1347789,-0.24329185,2.4869518,2.8331058,0.54194605,-0.28309238,0.5002859,0.88710123,-0.7526965,1.4188508,0.9658488,0.351379,-0.38659203,0.04129022,0.3840824,-0.36669648,0.35792443,-0.30920976,0.26629314,1.3243109,0.37879795,0.52277184,1.1104532,2.0523684,0.2139166
15,BanoQudsia,0.44827586,0.55172414,0.0,0.06896552,0.03448276,0.13793103,0.0,0.0,0.7241379,0.0,29.0,49.0,0.12068965,3.3793104,3.336463,17.0,0.47057375,0.3561151,-0.57615143,0.38018394,0.9416108,-0.6864391,-0.62425405,1.4846785,-0.59200233,-0.69637805,-0.17896397,-0.45414165,-0.42212856,-0.7807724,-0.24662165,1.4553039,-0.4297231,0.5833103,-0.5465967,0.76084816,-0.68535525,2.8464203,-0.7090337,-0.50901043,-0.4201441,-0.10778555,0.7406877,-0.69256693,1.9551433,-0.3119185,-0.57493466,-0.56375897,-0.65003014,-0.32171214,-0.73447526,-0.45275876,2.2163517,-0.45339945,-0.598642,-0.36568558,-0.49648085,0.25371397,-0.1920115,0.10193798,1.4432487,0.99346596,-0.54898655,2.7019484,2.3168585,-0.5929178,-0.27430558,0.3640284,-0.55310744,-0.777394,-0.6730667,-0.4787077,0.2735815,-0.5243284,1.0414037,1.0569149,-0.28000227,-0.55403143,1.7060288,0.5679377,0.9420311,-0.542261
16,BanoQudsia,0.65,0.3,0.05,0.0,0.0,0.4,0.0,0.05,0.55,0.0,21.0,66.0,0.31428573,6.285714,5.025107,13.0,0.53501,0.8306189,-0.20094083,-0.2047046,6.1939826,-0.24852106,-0.40598425,0.40932855,-0.45901084,-0.5492097,-0.47578275,-0.36992192,-0.3875873,-0.4658711,0.03490866,-0.28863215,0.04775547,2.3212543,-0.01265838,2.6549428,-0.7284697,6.8241096,-0.53932637,-0.29693544,-0.30907306,1.0818361,3.7476912,-0.29745588,-0.14164162,0.16713995,-0.16478293,-0.017993614,-0.8103893,-0.37347278,-0.5739762,-0.20931782,2.1273954,-0.2904734,-0.27393603,-0.026807876,-0.6094783,1.2386652,-0.61987877,7.0919137,7.506431,1.9029677,-0.17766936,1.526761,3.1087036,-0.8354189,0.10514878,2.1872287,-0.28727338,-0.7972142,-0.3969933,-0.35054898,-0.5002379,-0.39762396,-0.17864865,0.8709361,-0.0025335152,-0.25299376,0.66991776,2.9863212,4.8991313,0.3467775
17,BanoQudsia,0.61538464,0.3846154,0.0,0.03846154,0.0,0.34615386,0.0,0.0,0.61538464,0.0,27.0,70.0,0.1994302,5.185185,5.2636914,13.0,0.44305182,0.8095952,-0.11964773,0.052558217,1.3158454,-0.39378208,-0.2784258,0.8850887,-0.56702423,-0.37217176,-0.15055211,-0.024670394,0.17416003,-0.3988582,0.5956225,1.0266676,-0.11641318,0.48098847,0.08955,0.9690544,-0.38952205,2.606021,-0.4308332,0.096183054,0.21099825,0.18980901,0.8809643,-0.41453636,1.3377658,0.642901,0.062340196,-0.084300764,-0.6969039,0.33047268,-0.4574521,-0.004755197,1.9410983,-0.33811754,-0.093151696,0.4701565,-0.6018871,0.9506803,-0.35454476,0.9228992,1.3757604,1.1272808,-0.33192563,2.0857778,2.0305924,-0.75241774,0.66020167,0.37345985,-0.0016277058,-0.64290136,-0.2149918,0.0024681708,0.16585948,-0.04511373,0.54612136,0.73934317,0.6059381,-0.0458326,0.84259534,0.49824333,0.80742675,-0.06526268
18,BanoQudsia,0.65384614,0.34615386,0.0,0.115384616,0.0,0.46153846,0.0,0.0,0.42307693,0.0,26.0,187.0,0.5753846,14.384615,5.929567,24.0,0.8145029,0.70641893,-0.9905974,-0.6728283,7.7057943,-0.9411509,-0.98018,1.6451621,-0.9122588,-0.99149334,-0.8141345,-0.97976696,-0.99824524,-0.99932957,-0.99265295,0.38328683,-0.8372634,1.7150911,-0.99056333,3.324786,-0.9995791,9.435644,-0.98018926,-0.9993585,-0.9995826,2.4956257,5.410767,-0.9744546,0.1481279,-0.9985453,-0.9984594,-0.9163938,-0.97529465,-0.99884796,-0.9928116,-0.93228817,4.2204976,-0.8866607,-0.9931577,-0.9993182,-0.9082046,2.8738008,-0.7629721,7.979073,8.614451,3.2266932,-0.92517287,2.7043684,4.8343563,-0.9668199,-0.9982637,1.6319312,-0.9951633,-0.99464023,-0.9984019,-0.9902033,0.34052992,-0.9967089,-0.46128294,2.2850595,-0.99869245,-0.8683056,0.8682909,2.9046297,5.594619,-0.1646534
19,BanoQudsia,0.6822742,0.29765886,0.013377926,0.006688963,0.0,0.2909699,0.0,0.0,0.4013378,0.30100334,309.0,4962.0,0.10427437,32.116505,38.788773,207.0,0.5154242,0.5410075,0.0681145,0.8850776,0.35478798,0.42596722,-0.4341188,0.47431353,1.1627712,-0.3733937,0.1478737,-0.52302015,-0.5493848,0.20555027,0.10886846,3.1197705,1.845305,-0.5950143,-0.030856237,1.3759471,-0.68457794,2.3758564,-0.54602814,0.058903363,-0.41250363,0.8110344,0.010370256,1.1039137,3.4276032,0.22705755,0.22401217,1.5690681,-0.8682263,-0.48079056,-0.45056662,1.3110886,3.0779436,0.7296823,-0.079370305,-0.18274233,-0.68590504,3.7622168,-0.41576502,1.1378807,0.03819429,1.6544539,0.87557566,3.4716065,4.004647,-0.81884,0.3006374,0.00953295,-0.55559415,-0.58230317,-0.006202956,-0.5770611,1.3346901,-0.6260326,0.2762714,0.3783622,-0.21249002,0.23248412,-0.3829715,-0.32391405,-0.62707573,2.046786
